CustomerID,Age,Gender,AnnualIncome,Education,Occupation,City,TenureMonths,MembershipTier,PreferredChannel,TotalPurchases,TotalSpend,AvgOrderValue,PurchaseFrequencyPerMonth,WebsiteVisitsPerMonth,AppUsageHoursPerMonth,DiscountUsesPerYear,Returns,LastPurchaseDays,SatisfactionScore,SupportTickets,EmailOpenRatePct,CartAbandonmentRatePct,Churned
C000085,25,Female,131012,Master,Sales,Madurai,46,Gold,Store,203,42669.47,210.19,4.76,13,13.6,6,4,19,7.7,1,65.2,40.2,0
C000086,31,Female,57847,Master,Sales,Delhi,9,None,Mobile App,45,107566.58,2390.37,5.29,20,7.5,11,1,56,6.0,1,39.4,10.5,0
C000087,40,Male,21849,High School,Teacher,Bengaluru,72,Gold,Website,216,18212.74,84.32,3.08,16,5.3,7,1,61,4.5,2,74.5,32.2,0
C000088,57,Male,64624,PhD,Business,Kochi,27,Silver,Store,130,33171.12,255.16,5.15,11,16.0,9,1,48,7.4,3,40.4,57.9,1
C000089,38,Female,45004,Master,Other,Hyderabad,47,Platinum,Mobile App,312,45399.12,145.51,6.15,11,15.1,6,0,36,5.4,2,40.8,38.1,1
C000090,33,Male,68686,Bachelor,Finance,Chennai,92,None,Store,404,146667.15,363.04,3.73,8,7.6,5,4,13,10.0,4,44.9,49.6,0
C000091,62,Male,252857,Bachelor,Sales,Hyderabad,92,Platinum,Store,460,107877.16,234.52,5.5,24,14.3,10,3,36,7.3,3,82.0,50.5,0
C000092,35,Male,26229,Master,Business,Madurai,120,Silver,Website,617,33089.84,53.63,4.16,14,21.0,4,0,8,7.4,2,65.4,33.4,1
C000093,64,Female,93301,Master,Healthcare,Mumbai,48,None,Website,230,142807.63,620.9,5.46,18,0.0,8,0,51,10.0,3,56.3,24.0,1
C000094,41,Female,71102,Master,Student,Madurai,111,Gold,Store,730,102757.28,140.76,6.61,6,18.2,3,1,166,7.3,1,82.7,26.1,1
C000095,43,Female,93272,Master,Engineer,Hyderabad,6,None,Mobile App,22,160769.39,7307.7,3.84,12,20.4,6,3,15,7.5,1,49.7,28.5,0
C000096,42,Male,69640,Bachelor,Engineer,Delhi,44,None,Marketplace,388,82483.86,212.59,8.74,14,6.0,3,1,37,6.8,5,83.6,34.5,1
C000097,62,Female,69547,Master,Student,Chennai,113,None,Marketplace,1247,191459.71,153.54,9.72,5,14.8,3,2,42,7.2,2,81.9,43.4,1
C000098,58,Male,23358,Bachelor,Finance,Mumbai,104,Silver,Marketplace,532,15101.32,28.39,5.63,14,7.8,2,2,115,7.7,3,48.2,49.5,0
C000099,46,Male,46786,Bachelor,Other,Coimbatore,92,Gold,Marketplace,253,112440.75,444.43,2.77,23,8.0,5,1,40,7.4,2,78.9,18.4,1
C000100,32,Female,20144,Master,Student,Bengaluru,103,Gold,Store,679,10656.94,15.7,6.19,11,19.1,7,1,27,7.0,2,82.2,33.8,0
C000101,62,Female,31524,Master,Other,Madurai,15,Platinum,Website,40,16660.75,416.52,2.61,15,0.0,8,1,41,7.5,0,36.0,56.7,1
C000102,18,Male,41076,High School,IT,Chennai,55,None,Website,25,55082.96,2203.32,0.5,19,15.3,2,0,48,8.4,0,77.0,48.8,1
C000103,42,Female,51123,Diploma,Business,Kochi,58,Silver,Website,457,110501.34,241.8,7.53,17,13.3,7,1,21,7.1,0,60.3,23.7,0
C000104,24,Female,23374,Master,Finance,Delhi,102,Platinum,Mobile App,375,30780.28,82.08,4.1,18,19.5,7,0,46,9.6,3,82.1,61.5,0
C000105,26,Female,54396,Diploma,Healthcare,Hyderabad,114,None,Store,500,46322.69,92.65,4.39,13,7.8,5,1,16,6.5,2,43.5,11.9,1
C000106,41,Male,27563,Bachelor,Engineer,Mumbai,64,None,Mobile App,342,23833.33,69.69,5.16,17,9.1,7,0,27,7.0,1,95.7,27.9,0
C000107,18,Male,83895,Master,Business,Delhi,39,None,Store,135,99634.1,738.03,3.36,13,10.0,4,1,15,8.0,3,51.0,53.7,0
C000108,61,Male,79988,Master,Healthcare,Pune,9,None,Store,41,56346.02,1374.29,6.71,11,20.3,5,1,7,9.5,0,58.6,32.8,0
C000109,25,Female,97566,Bachelor,Student,Mumbai,31,None,Website,52,53495.37,1028.76,1.86,12,10.2,5,1,47,8.5,0,65.8,45.7,1
C000110,41,Female,81970,Master,IT,Kochi,93,None,Website,432,54837.69,126.94,4.35,16,12.9,6,2,1,6.1,3,98.0,39.0,1
C000111,28,Female,57654,Bachelor,Healthcare,Delhi,91,None,Store,246,21124.64,85.87,2.58,11,15.3,5,0,40,7.1,1,82.1,29.3,1
C000112,68,Female,98945,Diploma,Healthcare,Pune,118,Gold,Website,360,57383.77,159.4,2.44,19,15.4,6,2,46,7.7,0,78.7,3.0,0
C000113,34,Male,44692,Bachelor,Sales,Delhi,65,Platinum,Website,336,97944.96,291.5,5.38,9,15.3,1,3,66,9.0,1,52.4,18.4,1
C000114,25,Female,54284,Master,Other,Pune,28,None,Website,117,56909.93,486.41,3.94,15,22.6,5,2,23,8.0,1,36.9,16.8,0
C000115,52,Female,45459,Diploma,Teacher,Chennai,5,Silver,Store,31,110091.75,3551.35,6.97,13,15.1,10,1,80,6.5,1,91.3,34.2,1
C000116,52,Male,39368,Master,Teacher,Madurai,42,Gold,Store,236,42016.43,178.04,5.85,13,15.8,5,2,57,8.1,0,79.8,43.3,1
C000117,50,Male,51990,Bachelor,Finance,Hyderabad,79,Silver,Mobile App,231,79596.96,344.58,3.02,17,8.6,2,2,97,6.8,2,67.6,26.9,1
C000118,22,Female,89829,High School,Teacher,Pune,103,Gold,Website,932,66599.88,71.46,7.22,17,17.3,6,3,24,6.8,0,39.6,22.5,0
C000119,59,Male,46395,Master,Other,Madurai,101,Gold,Marketplace,660,75379.21,114.21,6.9,17,21.9,4,0,61,8.8,2,67.0,44.7,0
C000120,56,Female,99897,High School,Healthcare,Delhi,23,None,Mobile App,146,156786.82,1073.88,7.21,10,7.3,4,1,57,6.1,2,66.4,21.7,1
C000121,58,Male,24872,Bachelor,Sales,Mumbai,88,Silver,Website,365,44894.91,123.0,4.33,11,0.9,4,1,32,6.1,0,61.9,10.6,1
C000122,45,Male,39226,Bachelor,Healthcare,Kochi,10,Gold,Mobile App,33,40291.87,1220.97,3.63,16,15.1,5,1,58,6.2,0,62.2,37.5,0
C000123,24,Female,19196,High School,Student,Mumbai,116,Silver,Website,637,33798.68,53.06,6.16,11,5.0,7,2,37,5.5,4,32.4,34.5,1
C000124,26,Female,29774,Master,Healthcare,Delhi,80,None,Mobile App,846,37730.96,44.6,9.15,17,24.8,8,0,53,6.4,2,41.9,46.4,1
C000125,25,Female,145232,Bachelor,Teacher,Hyderabad,67,None,Mobile App,328,132806.97,404.9,4.24,19,2.9,9,0,7,6.2,1,54.9,42.9,1
C000126,29,Female,40622,Master,Finance,Mumbai,22,Gold,Store,96,80028.49,833.63,4.77,18,7.5,8,1,47,6.8,3,63.6,44.2,1
C000127,51,Female,56836,Bachelor,Teacher,Chennai,114,None,Mobile App,236,84315.91,357.27,1.62,18,8.9,5,1,26,6.8,0,59.6,12.8,0
C000128,50,Female,25257,High School,Finance,Kochi,78,None,Mobile App,351,26703.16,76.08,4.63,14,6.8,3,0,170,8.9,0,66.9,31.1,0
C000129,65,Female,55240,Master,IT,Chennai,21,Platinum,Store,76,96963.58,1275.84,4.61,16,13.9,4,2,50,7.0,1,48.5,21.8,1
C000130,40,Female,38165,Bachelor,Finance,Madurai,51,Gold,Mobile App,283,54034.73,190.94,4.71,10,11.9,4,2,45,7.2,3,53.7,36.2,0
C000131,41,Female,70155,Diploma,Student,Delhi,63,Platinum,Website,423,48171.97,113.88,5.38,16,12.6,12,2,106,7.0,0,71.8,25.2,1
C000132,54,Female,65958,Diploma,Engineer,Delhi,46,Silver,Mobile App,53,67484.62,1273.29,1.13,13,9.9,8,3,99,9.3,3,50.5,23.8,0
C000133,52,Female,38232,High School,Other,Madurai,116,None,Store,662,93834.52,141.74,5.26,14,14.7,4,2,30,9.2,1,44.5,36.2,0
C000134,61,Female,36288,High School,Sales,Madurai,45,Silver,Store,181,61194.4,338.09,4.21,16,13.0,7,1,39,9.5,3,69.6,44.8,0
C000135,57,Female,32598,High School,Other,Chennai,69,None,Website,448,23251.03,51.9,4.75,11,14.1,6,1,47,5.8,1,59.3,38.1,1
C000136,39,Male,36685,Master,Healthcare,Kochi,83,None,Store,383,66359.08,173.26,6.31,19,3.3,3,0,52,7.7,1,28.5,33.5,0
C000137,44,Female,199958,Bachelor,Sales,Delhi,108,Gold,Store,110,78278.08,711.62,1.32,11,16.3,4,1,44,9.5,1,59.9,44.8,0
C000138,52,Male,47668,Bachelor,Healthcare,Madurai,90,Gold,Mobile App,299,69308.61,231.8,2.92,18,14.4,6,3,55,6.3,2,69.4,15.1,1
C000139,18,Female,100091,Diploma,Business,Chennai,47,Silver,Website,90,155431.76,1727.02,1.64,16,19.0,6,2,24,5.0,0,38.9,43.8,1
C000140,52,Female,64076,Bachelor,Sales,Kochi,79,None,Marketplace,407,49817.95,122.4,5.93,12,12.1,4,0,23,7.8,3,79.3,33.6,0
C000141,54,Female,35186,Bachelor,Other,Bengaluru,16,None,Store,59,19562.7,331.57,3.29,12,21.6,5,1,28,9.9,0,85.5,7.0,0
C000142,64,Male,57796,Diploma,Other,Chennai,118,None,Website,600,61275.72,102.13,7.03,14,0.0,4,0,89,7.8,4,44.5,28.8,1
C000143,31,Male,77309,PhD,Teacher,Coimbatore,44,Gold,Marketplace,359,27732.08,77.25,6.55,22,9.0,4,5,95,8.7,4,53.4,42.2,1
C000144,20,Female,90811,Master,Teacher,Kochi,111,Platinum,Mobile App,414,55078.73,133.04,4.08,9,19.9,9,0,29,7.8,4,50.3,46.7,1
C000145,18,Female,125483,Bachelor,IT,Madurai,98,None,Mobile App,827,233409.83,282.24,7.21,12,11.2,3,1,76,6.0,0,24.2,29.4,1
C000146,22,Male,60117,PhD,Healthcare,Coimbatore,49,Gold,Marketplace,172,62472.69,363.21,3.05,12,11.7,12,1,47,8.4,1,82.7,8.6,0
C000147,43,Male,91002,High School,Sales,Hyderabad,98,Silver,Website,404,62359.87,154.36,3.84,12,10.2,5,2,16,9.1,2,47.6,34.8,0
C000148,31,Male,57240,Master,IT,Pune,49,None,Website,22,130690.27,5940.47,0.55,14,11.7,6,2,19,6.6,1,55.0,22.3,1
C000149,56,Female,271583,Bachelor,Student,Coimbatore,96,None,Marketplace,459,278797.29,607.4,6.45,16,17.1,7,1,52,9.0,0,49.0,61.1,0
C000150,44,Female,39496,High School,Student,Hyderabad,42,Gold,Mobile App,93,36584.08,393.38,2.64,18,1.9,12,3,48,7.3,2,60.5,27.3,0
C000151,26,Female,25202,PhD,Business,Mumbai,23,None,Website,62,29992.16,483.74,2.45,15,4.6,7,1,26,9.0,2,65.0,12.5,1
C000152,32,Female,32203,High School,Healthcare,Pune,45,None,Mobile App,147,39385.48,267.93,3.08,14,20.8,3,1,24,6.0,1,56.5,68.6,0
C000153,32,Female,44107,Master,IT,Coimbatore,88,None,Mobile App,415,38791.18,93.47,4.21,19,16.8,5,0,35,8.1,1,79.2,46.4,0
C000154,43,Male,51576,Bachelor,Other,Pune,52,Gold,Store,543,35451.0,65.29,8.67,15,15.1,3,3,39,9.0,2,41.2,28.3,1
C000155,59,Female,19461,Master,Healthcare,Pune,10,Gold,Website,62,19063.38,307.47,6.22,11,25.4,5,1,89,7.3,0,79.8,3.0,1
C000156,30,Female,66030,Bachelor,Healthcare,Pune,17,Gold,Store,113,41327.5,365.73,7.04,12,9.1,8,2,76,10.0,0,56.1,10.3,0
C000157,68,Female,161782,High School,Sales,Mumbai,99,Gold,Website,199,246653.32,1239.46,2.09,15,12.4,4,1,27,8.1,1,91.4,33.4,1
C000158,49,Female,105568,PhD,Sales,Chennai,95,Platinum,Store,41,242631.8,5917.85,0.5,20,10.1,10,1,44,8.9,1,31.9,57.0,1
C000159,56,Female,86451,Bachelor,Sales,Madurai,4,Gold,Marketplace,15,72330.63,4822.04,4.04,14,8.3,7,0,138,9.3,2,78.6,34.7,1
C000160,66,Male,61394,Master,Student,Pune,55,None,Store,212,50022.94,235.96,3.32,18,19.9,3,1,10,9.1,2,47.8,45.7,0
C000161,69,Male,23202,Master,IT,Mumbai,113,Gold,Store,885,22748.11,25.7,6.71,8,16.4,7,1,43,8.2,1,52.8,34.1,1
C000162,49,Female,80858,Bachelor,Teacher,Bengaluru,18,None,Mobile App,23,72176.14,3138.09,1.08,12,1.0,6,2,142,8.9,1,68.3,30.3,1
C000163,21,Male,47069,Bachelor,Teacher,Chennai,71,Silver,Mobile App,124,27094.87,218.51,2.43,12,21.1,6,2,6,6.9,2,66.2,65.8,0
C000164,47,Male,74404,Diploma,Student,Pune,66,Silver,Store,214,96145.87,449.28,3.18,24,15.9,4,2,38,7.6,1,74.3,21.6,0
C000165,54,Male,50401,High School,Sales,Hyderabad,15,None,Mobile App,7,78863.88,11266.27,0.5,16,12.0,5,3,55,6.2,2,62.5,26.5,1
C000166,40,Female,39415,Diploma,Healthcare,Pune,106,None,Website,485,49502.01,102.07,4.49,25,13.7,11,0,49,9.1,0,59.4,40.1,1
C000167,56,Male,26639,Master,Finance,Mumbai,33,None,Website,138,14942.13,108.28,4.39,16,14.7,8,0,17,7.9,0,69.8,41.5,0
C000168,62,Male,56495,Master,Healthcare,Madurai,31,Gold,Store,88,60011.29,681.95,3.1,19,20.3,4,2,121,8.9,0,29.3,45.1,1
C000169,32,Female,121369,Diploma,Engineer,Hyderabad,29,Platinum,Website,124,79302.47,639.54,4.48,18,3.5,6,1,50,9.2,1,79.4,27.4,0
C000170,60,Female,47655,High School,Sales,Chennai,64,None,Mobile App,417,122756.12,294.38,5.63,16,10.1,2,0,40,6.0,0,70.3,49.8,0
C000171,46,Male,54622,Master,Business,Kochi,75,Gold,Store,393,50482.27,128.45,5.16,15,0.0,6,4,42,7.4,3,49.5,49.4,1
C000172,53,Female,41753,Diploma,Sales,Pune,101,Silver,Store,548,120790.16,220.42,5.38,19,3.6,4,2,58,9.4,3,54.0,61.4,0
C000173,30,Male,98140,Bachelor,Healthcare,Bengaluru,6,Gold,Website,7,83363.38,11909.05,1.92,14,22.3,5,3,69,8.9,5,75.6,12.6,0
